START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,124,260164AF-93D3-4ABE-BBA9-4F18F3B3BD3A,,RESTORE TO REALISM,5,,,,,,,,,,5,,I,A,,,,,,,,,,,,,
1,Cue,1,126,8FA0FF8F-866A-411D-9058-864F57EE17A0,,FX ACCENT,,,,,,,,,,,4,,,,,,,,,,,,E802 ,,,,
1,Cue,1,126,8FA0FF8F-866A-411D-9058-864F57EE17A0,1,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
1,Cue,1,126,8FA0FF8F-866A-411D-9058-864F57EE17A0,20,MARK,4,,,,,,,,,,4,M,,,,,,,,,,,,,,,
1,Cue,1,128,EE3035ED-31E4-462D-9537-81B5F8891A55,,SHIFT TO VERSE DEE,4,,,,,,12,,,,12,R,,,,,,,,,,,,,,,
1,Cue,1,130,EA59D353-959C-4C29-9C8A-5C25EA635D84,,RESTORE TO REALISM,5,,,,,,,,,,5,,I,A,,,,,,,,,,,,,
1,Cue,1,132,09A0102B-5C2D-43CD-9247-EA7E55FBF3DA,,SHIFT TO VERSE DEE,4,,,,,,12,,,,12,,I,,,,,,,,,,,,,,
1,Cue,1,134,CDE84209-B3AA-4CA2-B5D9-5C48D5F21932,,RESTORE TO REALISM,2,,,,,,,,,,2,,I,A,,,,,,,,,,,,,
1,Cue,1,136,690A994A-E9A7-4735-8044-7AF131CEDA00,,PULL TO COUCH,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,137,749119DC-C53C-4864-86F2-B2A6FC3565BC,,SLOW FX ACCENT,0.5,,,,,,,,,,0.5,,,,,,,,,,,,E802 ,,,,
1,Cue,1,140,F29F7C1F-27F2-414B-81AC-0B1F3D42B8E5,,PULL TO ISOLATE COUCH,30,,,,,,1:00,8,,,1:08,,,,,,,,,,,,,,,,
1,Cue,1,141,2F6D8A4E-A19A-4044-887B-710DCE36D43B,,SOUND Q141,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,142,483E4668-AA46-479B-9ECD-908EC0DEEDD7,,RESTORE TO REALISM,1,,,,,,,,,,1,,I,A,,,,,,,,,,,,,
1,Cue,1,144,0764D576-7C52-4184-8275-63EED05E91AA,,FX ACCENT ARI,0,,,,,,,,,,0,,,,,,,,,,,,E801 ,,,,
1,Cue,1,145,75CAED22-E0FF-48E1-A1AD-7561484BE23E,,SOUND Q145,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,146,DE790906-C005-4952-8E97-791BF4AAE6A5,,FX ACCENT ARI,0,,,,,,,,,,0,,,,,,,,,,,,E801 ,,,,
1,Cue,1,147,4AC9D631-5A30-4EB6-8103-B3E771D57F4D,,SOUND Q147,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,148,501B96C4-A25C-4084-99F5-ECD0E79097FB,,FX ACCENT ARI / TO VERSE,0,,,,,,,,,,0,,,,,,H0,,,,,,E801 ,,,,
1,Cue,1,148.1,BC31B0E8-17A1-4D63-A77A-7530558137D8,,TO VERSE,10,,,,,,20,,,,20,,,,,,,,,,,,E801 ,,,,
1,Cue,1,150,288091BF-2BF6-4146-ACC6-87899C6A26A0,,OPEN,6,,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,152,2AE64C53-8E11-4D19-95BE-83F31F2929CB,,RESTORE TO REALISM,,,,,,,,,,,4.9,,I,A,,,,,,,,,,,,,
1,Cue,1,152,2AE64C53-8E11-4D19-95BE-83F31F2929CB,1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
1,Cue,1,152,2AE64C53-8E11-4D19-95BE-83F31F2929CB,20,MARK,4.9,,,,,,,,,,4.9,M,,,,,,,,,,,,,,,
1,Cue,1,154,B4E658A8-5ABF-4BF5-95E2-6C5CBE44E3E9,,TO VERSE,8,,,,,,,,,,8,R,,,,,,,,,,,,,,,
1,Cue,1,156,6CB437CE-D934-43CA-AF85-40FDC8C071B2,,SHIFT TOWARDS REALISM,10,,,,,,,,,,10,,,,,,,,,,,,,,,,
1,Cue,1,158,81C970A2-0D7C-442B-82A6-3D6879B2066E,,BACK TO VERSE,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,160,8D4D910C-6331-46BC-B6E2-A4757D8C07C1,,PULL TOWARDS REALISM THEN RESTORE,6,,,,,,,,,,6,,,,,,F0,,,,,,,,,,
1,Cue,1,160.1,269870B7-DA85-4EF0-8E30-AF4AE6634039,,RESTORE,3,5,,,,,,,,,8,,,,,,,,,,,,,,,,
1,Cue,1,161,DF83FC1E-9802-4822-BE8F-08834E564CCF,,SOUND Q161,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,162,2DB0262B-4311-4E2F-8049-982F760D149F,,PULL TO REALISM,20,,,,,,,,,,20,,,,,,,,,,,,,,,,
1,Cue,1,164,4161702D-8424-457C-A343-CD583D5FE15A,,BLACKOUT,,,,,,,,,,,7.9,,I,A,,,,,,,,,,,,,
1,Cue,1,164,4161702D-8424-457C-A343-CD583D5FE15A,1,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,164,4161702D-8424-457C-A343-CD583D5FE15A,20,MARK,4.9,,,,,,,,,,7.9,M,,,,,,,,,,,,,,,
1,Cue,1,166,C0CEAB5B-C911-4F11-A16D-861DAFEFB3A1,,BOWS,3,,,,,,,,,,3,R,,,,,,,,,,,,,,,
1,Cue,1,168,7B16FE4D-29E9-4B91-A597-4C1C0A866DAA,,POST - SET,3,,,,,,,,,,3,,,,,,,,,,,,,,,POST SHOW,
15,Cue_List,,1,8575E26D-6893-4D72-B8F8-0D75B82C2F49,,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_TARGETS
